City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
343,Khorramabad,IR,45.88,broken clouds,33.4878,48.3558, 
345,Saint-Francois,FR,42.24,overcast clouds,46.4154,3.9054, 
346,Dryden,CA,32.29,light snow,49.7833,-92.7503, 
347,Lompoc,US,52.12,clear sky,34.6391,-120.4579, 
351,Hamilton,US,39.24,few clouds,39.1834,-84.5333, 
354,Broome,US,38.66,clear sky,42.2506,-75.833, 
366,Brigham City,US,40.66,overcast clouds,41.5102,-112.0155, 
370,Bowling Green,US,38.71,clear sky,36.9903,-86.4436, 
372,Dalbandin,PK,51.3,clear sky,28.8947,64.4101, 
374,Vestmanna,FO,36.52,overcast clouds,62.1564,-7.1664, 
376,Ravar,IR,45.46,clear sky,31.2656,56.8055, 
388,Skjervoy,NO,36.46,light rain,70.0311,20.9714, 
390,Pierreville,CA,41.25,broken clouds,46.0703,-72.8112, 
392,Medea,DZ,30.65,clear sky,36.2642,2.7539, 
394,Roma,US,41.85,clear sky,43.2128,-75.4557, 
400,Tongliao,CN,27.41,clear sky,43.6125,122.2653, 
407,Tootsi,EE,32.67,overcast clouds,58.5781,24.7925, 
408,Zemes,RO,32.29,overcast clouds,46.5833,26.4167, 
412,Fortuna,US,49.66,overcast clouds,40.5982,-124.1573, 
414,Villa Rica,US,44.38,clear sky,33.7321,-84.9191, 
416,Protvino,RU,27.32,overcast clouds,54.8664,37.2178, 
417,Dese,ET,45.12,broken clouds,11.1333,39.6333, 
420,Tayport,GB,44.82,overcast clouds,56.447,-2.8797, 
421,Marquette,US,35.76,overcast clouds,46.5333,-87.6335, 
422,Riyadh,SA,46.54,broken clouds,24.6877,46.7219, 
423,Raudeberg,NO,45.27,overcast clouds,61.9875,5.1352, 
426,Cascioarele,RO,37.56,overcast clouds,44.1261,26.4697, 
429,Grand Junction,US,30.43,few clouds,39.0639,-108.5507, 
431,Praia Da Vitoria,PT,53.76,overcast clouds,38.7333,-27.0667, 
436,Turayf,SA,53.17,overcast clouds,31.6725,38.6637, 
448,Constitucion,CL,50.31,clear sky,-35.3333,-72.4167, 
454,Saint-Augustin,CA,26.33,overcast clouds,51.226,-58.6502, 
463,Saint Anthony,US,33.64,clear sky,45.0205,-93.218, 
464,Mao,ES,48.76,clear sky,39.8885,4.2658, 
467,Aljustrel,PT,53.13,clear sky,37.8776,-8.1652, 
470,Shitanjing,CN,28.53,clear sky,39.2342,106.3439, 
472,Zharkent,KZ,32.81,scattered clouds,44.1628,80.0, 
473,Kushima,JP,53.11,clear sky,31.4583,131.2333, 
475,Kamloops,CA,31.19,broken clouds,50.6665,-120.3192, 
478,North Bend,US,44.51,broken clouds,43.4065,-124.2243, 
479,Pitlochry,GB,43.66,broken clouds,56.7051,-3.7343, 
480,Duncan,US,46.45,clear sky,34.5023,-97.9578, 
486,Buraydah,SA,46.85,overcast clouds,26.326,43.975, 
490,Fuxin,CN,30.49,clear sky,42.0156,121.6589, 
493,Yashalta,RU,32.27,overcast clouds,46.3395,42.2762, 
497,Wajima,JP,40.86,overcast clouds,37.4,136.9, 
498,Okha,RU,25.18,light snow,53.5739,142.9478, 
500,Berlevag,NO,28.35,light snow,70.8578,29.0864, 
519,Sitka,US,27.81,overcast clouds,57.0531,-135.33, 
520,Roswell,US,43.39,clear sky,34.0232,-84.3616, 
521,Abu Kamal,SY,52.39,scattered clouds,34.4506,40.9171, 
526,Bay Roberts,CA,38.43,overcast clouds,47.5999,-53.2648, 
528,Melfi,IT,40.5,broken clouds,40.9965,15.6514, 
534,Marystown,CA,38.86,overcast clouds,47.1666,-55.1483, 
535,Ridgecrest,US,47.43,clear sky,35.6225,-117.6709, 
536,Forestville,US,41.34,clear sky,38.8451,-76.875, 
538,Hamadan,IR,37.44,broken clouds,34.7992,48.5146, 
554,Sabha,LY,47.44,clear sky,27.0377,14.4283, 
556,Moss Point,US,48.27,clear sky,30.4116,-88.5345, 
559,Hornepayne,CA,30.58,scattered clouds,49.2138,-84.7705, 
561,Lac Du Bonnet,CA,31.59,broken clouds,50.2536,-96.0612, 
565,Tokmak,UA,37.87,overcast clouds,47.2514,35.7058, 
569,Comodoro Rivadavia,AR,52.83,light rain,-45.8667,-67.5, 
571,Marrakesh,MA,48.27,clear sky,31.6315,-8.0083, 
576,Stuttgart,DE,42.58,light intensity drizzle,48.7823,9.177, 
579,West Plains,US,40.03,clear sky,36.7281,-91.8524, 
583,Champaign,US,39.02,clear sky,40.1334,-88.2001, 
584,Ukiah,US,52.43,overcast clouds,39.1502,-123.2078, 
587,Ipatovo,RU,34.34,overcast clouds,45.7181,42.9036, 
589,Sandwick,GB,48.02,broken clouds,60.0,-1.25, 
594,Antigonish,CA,38.93,clear sky,45.6169,-61.9986, 
595,Northam,GB,54.01,overcast clouds,51.0333,-4.2167, 
599,Skibbereen,IE,44.4,overcast clouds,51.55,-9.2667, 
601,Moose Factory,CA,29.07,overcast clouds,51.2585,-80.6094, 
613,Rongcheng,CN,51.53,clear sky,30.634,117.8517, 
615,Port-Cartier,CA,25.95,few clouds,50.0334,-66.8654, 
617,Fryanovo,RU,25.12,overcast clouds,56.1333,38.45, 
619,Bafra,TR,37.18,clear sky,41.5678,35.9069, 
620,Shingu,JP,53.24,clear sky,33.7333,135.9833, 
623,Balkanabat,TM,40.46,clear sky,39.5108,54.3671, 
627,Muhos,FI,28.89,overcast clouds,64.808,25.9931, 
629,Oancea,RO,46.11,overcast clouds,45.9167,28.1, 
630,Tournon-Sur-Rhone,FR,44.1,broken clouds,45.0667,4.8333, 
631,Bayir,TR,50.52,light rain,37.2687,28.2167, 
636,Merrill,US,35.37,clear sky,45.1805,-89.6835, 
637,Bonavista,CA,38.12,overcast clouds,48.6499,-53.1147, 
638,Kuryk,KZ,26.33,clear sky,43.2,51.65, 
641,Taraz,KZ,39.61,mist,42.9,71.3667, 
645,Palmer,US,39.42,clear sky,42.1584,-72.3287, 
653,Akdepe,TM,26.6,overcast clouds,42.0551,59.3788, 
655,Dordrecht,NL,51.08,overcast clouds,51.81,4.6736, 
656,Thessalon,CA,41.29,broken clouds,46.2501,-83.5666, 
662,Finnsnes,NO,33.76,light snow,69.2296,17.9811, 
665,Baherden,TM,42.85,scattered clouds,38.4362,57.4316, 
670,Prince Rupert,CA,28.87,overcast clouds,54.3161,-130.3201, 
